counter|a click counter with an increment button and a reset button
timer2|a countdown timer you set in minutes and seconds, with start, pause, resume and reset, that keeps counting correctly after a pause and announces when it reaches zero
gallery2|an image-free gallery of twenty CSS-drawn tiles with a lightbox that opens on click, closes on escape, and steps between tiles with the arrow keys
dashboard2|a dashboard with three CSS-drawn charts, a date-range selector that changes all three at once, and a total that recomputes from the visible range
markdown2|a live markdown preview supporting headings, bold, italic, links and lists, updating as you type, with a word count
routes2|a single-page app with three views switched by the hash in the URL, where reloading on a view keeps you on it and a back button returns to the previous one
async2|a list that loads after a two-second delay with a visible spinner, then filters as you type, and shows a retry button if the load is made to fail
spreadsheet|a 6x6 grid of editable cells where a cell starting with = holds a formula over other cells like =A1+B2, every dependent cell recomputes when a referenced one changes, and a circular reference is refused rather than hanging
treeview|a nested folder tree three levels deep where a folder expands and collapses on click, a collapsed folder hides every descendant, and a counter shows how many rows are currently visible
sortable|a table of eight people with name, age and joined-date columns, where clicking a header sorts by it, clicking again reverses, ages sort as numbers rather than as text and dates sort chronologically
pagination|a list of 47 items shown ten to a page, with next and previous that stop at the ends, a page indicator, and a last page holding the remaining seven
tabs|four tabbed panels where clicking a tab shows only its panel, the left and right arrow keys move between tabs, and Home and End jump to the first and last
modal|a dialog opened by a button that dims the page behind it, closes on Escape and on a click outside it but not on a click inside, and returns focus to the button that opened it
autocomplete|a country box that shows matching suggestions as you type, where the down arrow walks the suggestions, Enter fills the box with the highlighted one and Escape closes the list without changing anything
reorder|a list of six rows that can be dragged into a new order, showing the current order as a line of numbers underneath so a wrong drop index is visible
multiselect|a list of ten items where a click selects one, ctrl-click adds to the selection, shift-click takes the whole range between, and a counter shows how many are selected
splitpane|two panes divided by a bar that can be dragged left and right to resize them, refusing to shrink either below a minimum, with both widths shown as percentages
invoice|an invoice with line items each having a quantity and a unit price in pence, a subtotal, twenty percent tax and a total, all staying exactly right to the penny as quantities change
calendar|a month calendar with previous and next month buttons, the correct number of days and starting weekday for every month including February in a leap year, and today marked
stepper|a quantity control with plus and minus buttons and a typed box, a minimum of one and a maximum of ten that it refuses to cross by either route, and a total price that follows
filtersort|a table with both a search box and sortable columns, where filtering then sorting keeps only the matching rows and sorting then filtering does not lose the sort
undoredo|a text box with undo and redo buttons, where redo becomes available after an undo and a fresh edit discards the redo history rather than leaving it stale
zoompan|a canvas of shapes with zoom-in and zoom-out buttons and dragging to pan, where a readout shows the coordinate under the pointer and it stays correct after zooming
palette|a canvas holding three shapes where clicking a shape selects it, a row of colour swatches recolours the selected shape only, and nothing happens when no shape is selected
infinite|a list of twenty rows that appends twenty more when scrolled to the bottom, up to sixty, then says there is no more to load
formarray|a form where Add Person appends a name and age field pair, each pair has its own Remove, and a summary line lists every completed person
diff|two text panes and a Compare button that marks added, removed and unchanged lines between them, updating when either pane is edited
pomodoro|a pomodoro timer that counts twenty-five minutes of work then automatically switches to a five-minute break, with start, pause and skip, and a count of completed rounds
survey|a branching questionnaire where answering yes and answering no lead to different next questions, a back button returns to the question actually answered, and the end shows the path taken
seatmap|a seating grid where some seats are already booked and refuse selection, clicking a free seat toggles it, and a total price counts only the seats currently chosen
cube3d|a rotating wireframe cube drawn with WebGL, where the arrow keys change its rotation axis and speed, and a button stops and restarts the animation
matrix|two editable 3x3 number grids with a multiply button that fills a third grid with the product, refusing non-numeric entries and showing the arithmetic for one cell
