# What these programs really do, established by hand: each one opened,
# driven, and read back at the pixel level. Nothing here is assay's opinion.
# This is what it is measured against.
#
# harness: none. One prompt, one reply, no agent loop and no tools
# model:   gpt-oss-120b, no sampling parameters set
#
# <program>       works|broken   what settles it
37_draw2          works   strokes draw, Undo removes exactly one at a time, Redo puts it back and Clear empties the canvas
38_chart2         works   the button switches between line and bar and back, redrawing the same data
39_signup2        works   Sign Up stays disabled and names the reason for a bad email, a weak password or a mismatch, and enables only when all three are right
40_quiz2          works   Next and Previous walk the questions and the end shows a review of the answers given
41_search2        works   typing narrows the table to matching rows, nonsense leaves none, and clearing restores all twenty-one
42_wizard2        broken  step two can never be completed: the ZIP field carries pattern="\\d{5}", an escaped backslash, so 12345 fails checkValidity and only a literal backslash followed by five d's passes
43_clock2         works   every clock ticks and the toggle switches all zones between 12 and 24 hour
44_calc2          works   7+8=15, 9x3=27 and 50/4=12.5, with C clearing between sums
45_timer2         works   it counts down from what is entered, Pause freezes it, Resume carries on and Reset restores the set time
46_gallery2       works   clicking a thumbnail opens the lightbox overlay with its close control
47_dashboard2     works   the charts render and a changed date range redraws them and updates the visible total
48_markdown2      works   headings, bold and links render as you type and the word count follows
49_routes2        works   the three links switch view and set the hash, and the view survives a reload
50_async2         works   the list arrives after its delay and the filter narrows it live
51_spreadsheet    works   formulas compute, dependents and chains recompute on every edit, and a self-reference is refused with #CIRC! rather than hanging
52_treeview       works   three levels deep, each folder expands and collapses, a collapsed folder takes every descendant with it, and the counter matches the visible rows at all 16
53_sortable       works   all three headers sort and reverse on a second press, and Age and Joined really do compare with Number() and Date() rather than as text
54_pagination     works   ten to a page across five pages, items 41-47 on the last, the indicator tracks it, and Previous and Next each disable themselves at their end
55_tabs           broken  selection and the arrow, Home and End keys all track correctly, but every panel goes blank after the first switch: .panel is display:none and only [hidden=false] shows it, while the script reveals a panel by removing the attribute
56_modal          works   the button opens it over a 50% black dim, a click inside is ignored, a click outside and Escape both close it, and focus goes back to the opening button
57_autocomplete   works   typing narrows the country list, the down arrow walks it, Enter puts the highlighted country in the box and closes the list, and Escape closes it leaving what was typed
59_multiselect    works   a plain click replaces the selection, ctrl-click adds and removes again, shift-click takes the range from the anchor, and the Selected count is right at every step
60_splitpane      works   the bar drags both ways as often as you like, the percentages track it, and neither pane goes below 10% however far past the edge you pull
61_invoice        works   prices are shown in pounds rather than pence, and the arithmetic is exact anyway: 3 x 2.99 and 7 x 14.99 give 8.97 and 104.93, subtotal 154.40, tax 30.88, total 185.28
62_calendar       works   prev and next walk the months, February 2024 gives 29 days and 2023 gives 28, every month starts in the right column of a Sunday-first grid, and today is marked
64_filtersort     works   the box narrows the rows to the ones that match and a nonsense term empties the table, sorting survives filtering, and filtering after sorting keeps the order and loses no rows
65_undoredo       works   undo steps back a character at a time and lights Redo, Redo puts it back, and typing after an undo greys Redo out rather than leaving the old branch reachable
66_zoompan        works   the readout is right at every scale: after zooming in twice, a 120px drag moves the world point by exactly 83.33 and it stays under the pointer, and x1.2 against x1/1.2 returns exactly to 1
67_palette        works   clicking a shape selects it and a swatch then recolours that shape and neither of the other two, and a swatch pressed with nothing selected leaves the canvas pixel for pixel identical
69_formarray      works   Add Person appends a name and age pair, the summary lists every completed one live, a name with no age is left out, and each Remove takes its own pair and drops it from the summary
63_stepper        works   plus and minus clamp at 10 and 1 and disable themselves there, and the typed route clamps too: 99 becomes 10, 0 and -3 become 1, and the total follows at 9.99 a unit
68_infinite       works   twenty rows to start, twenty more on each scroll to the bottom up to sixty, then it says there is no more to load and stops appending
70_diff           works   alpha and gamma come back unchanged, beta and delta removed, GAMMA and epsilon added, and editing either pane redoes the comparison
71_pomodoro       works   twenty-five minutes of work rolls into a five-minute break and back on its own, Pause freezes the clock where it stood, Start resumes from there and Skip jumps to the other phase; the round count rises when a full work and break cycle ends
72_survey         works   yes and no lead to different questions, Back retraces the branch actually taken two levels deep and really rewinds it (answering the other way then goes somewhere else), and the end lists every question with the answer given
73_seatmap        works   the booked seats refuse every click and cost nothing, a free seat toggles on and off, and the total counts only the seats currently chosen
74_cube3d         broken  the canvas never shows anything. The shaders compile, the loop runs and 24 line indices are drawn every frame, but the uploaded MVP leaves every one of the eight corners outside the near and far clip planes (w comes out +/-1 while z is about +/-5), so the whole cube is clipped away and the canvas stays its clear colour
75_matrix         works   1..9 times 9..1 gives 30 24 18 / 84 69 54 / 138 114 90, the working reads c00 = 1x9 + 2x6 + 3x3 = 30, and a letter in any cell is refused with an alert leaving the last result standing
58_reorder        works   dragging a row lands it where you dropped it and the order line underneath agrees with the rows every time: 1 onto 4 gives 2 3 1 4 5 6, then 6 onto 1 gives 6 2 3 1 4 5
